1,010001,Southeast Alabama Medical Center,31.215462,-85.361425,DOTHAN,AL,36301,420,20,60150,13315,183146,2092,37,4,Owned,"Government, non-federal",Hospital District or Authority,NULL,262532002,NULL,51-75%,76-100%,16923,625089,Southeast Alabama Medical Center,16927,625090,010001,2016,2016,1.0000,10,10,4,1.0000,8.0000,6.2500,010001,2015,2.16,1.67,1.52,138.30,0.31,0.57,4504,393,15719,150,15348,NULL
1,010016,Shelby Baptist Medical Center,33.254509,-86.814112,ALABASTER,AL,35007,192,10,45986,6816,85719,863,NULL,NULL,Owned,"Non-Government, non-for-profit (NFP)",Church-Operated,NULL,137233835,NULL,NULL,51-75%,35684,603200,"Baptist Health System, Inc.",35702,603203,010016,2016,2016,2.0000,4,3,3,2.0000,3.3333,3.0000,010016,2015,2.25,1.37,1.65,158.63,0.35,0.63,1876,308,6818,91,6482,NULL
1,010018,The Callahan Eye Foundation Hospital,33.502899,-86.803159,BIRMINGHAM,AL,35233,106,9,NULL,NULL,NULL,NULL,NULL,NULL,Owned,"Non-Government, non-for-profit (NFP)",Other non-for-profit (including NFP Corporation),NULL,NULL,NULL,NULL,NULL,30346,598482,UAB Health System,30351,598483,010018,2016,2016,6.0000,N/A,N/A,N/A,6.0000,N/A,6.0000,010018,2015,4.14,NULL,1.77,NULL,0.39,0.79,51,NULL,60,NULL,60,NULL
1,010019,Helen Keller Hospital,34.7464,-87.698899,SHEFFIELD,AL,35660,185,8,32966,8845,59037,700,NULL,NULL,Owned,"Government, non-federal",Hospital District or Authority,NULL,68102497,NULL,1-25%,51-75%,28250,593103,Northwest Alabama Healthcare Authority,28254,593104,010019,2016,2016,5.0000,1,1,3,5.0000,1.6667,2.5000,010019,2015,3.31,1.46,2.10,110.96,0.36,0.76,1292,220,6048,30,5901,NULL
1,010021,Dale Medical Center,31.4518,-85.630912,OZARK,AL,36360,89,4,17513,563,19830,300,2,0,Owned,"Non-Government, non-for-profit (NFP)",Other non-for-profit (including NFP Corporation),NULL,29762528,NULL,26-50%,26-50%,43491,629816,Dale Medical Center,46598,629817,010021,2016,2016,9.0000,N/A,4,N/A,9.0000,4.0000,5.2500,010021,2015,5.38,NULL,2.56,NULL,0.42,1.01,172,NULL,1456,NULL,1425,NULL
1,010024,Jackson Hospital & Clinic,32.366525,-86.285819,MONTGOMERY,AL,36106,344,22,45811,13903,101786,1322,31,4,Owned,"Non-Government, non-for-profit (NFP)",Other non-for-profit (including NFP Corporation),NULL,148285427,NULL,1-25%,51-75%,38968,595766,Jackson Hospital & Clinic,38971,595767,010024,2016,2016,4.0000,8,8,4,4.0000,6.6667,6.0000,010024,2015,2.26,1.86,1.67,144.85,0.28,0.73,2686,253,9365,131,8942,NULL
1,010033,University of Alabama Hospital - Birmingham,33.505899,-86.80295,BIRMINGHAM,AL,35233,1157,56,76085,32909,417509,6003,242,30,Owned,"Government, non-federal",State,NULL,1043684731,NULL,76-100%,NULL,30346,598482,UAB Health System,30370,598484,010033,2016,2016,6.0000,8,9,4,6.0000,7.0000,6.7500,010033,2015,5.36,0.92,1.25,144.36,0.49,0.80,9541,1430,23672,490,21292,NULL
1,010036,Andalusia Regional Hospital,31.298711,-86.493733,ANDALUSIA,AL,36420,100,4,10100,4000,21505,269,NULL,NULL,Owned,"Investor-Owned, for-profit",Corporation,NULL,41704432,NULL,NULL,26-50%,37025,615881,"LifePoint Hospitals, Inc.",37026,615902,010036,2016,2016,7.0000,N/A,3,1,7.0000,2.0000,3.2500,010036,2015,3.22,1.61,2.35,NULL,0.36,0.82,539,78,2858,NULL,2760,NULL
1,010038,Stringfellow Memorial Hospital,33.6677,-85.824977,ANNISTON,AL,36201,125,4,20538,3162,29271,344,NULL,NULL,Managed,"Investor-Owned, for-profit",Corporation,NULL,25840450,NULL,NULL,1-25%,37593,627200,"Health Management Associates, Inc.",37690,627211,010038,2016,2016,6.0000,N/A,10,1,6.0000,5.5000,5.6250,010038,2015,4.64,1.58,1.84,NULL,0.34,0.79,585,111,3194,NULL,3091,NULL
1,010045,Fayette Medical Center,33.707408,-87.823938,FAYETTE,AL,35555,61,3,14665,674,123589,297,NULL,NULL,Owned,"Government, non-federal",Hospital District or Authority,24693641,25667451,49,1-25%,76-100%,38628,595044,DCH Health System,38633,595046,010045,2016,2016,3.0000,N/A,N/A,N/A,3.0000,N/A,3.0000,010045,2015,4.03,1.66,1.42,NULL,0.38,0.70,60,25,1355,NULL,1310,NULL
